,normalization_fn,normalization_nu_fn,reg_fn_alpha,reg_fn_logmin,batch_size,length_cutoff_factor,initial_flow,learning_rate,number_epoch,step_per_epoch,B_beta,path_redraw,neighborhood,ExpectedReward,size,generators,reward_fn,heuristic_fn,initial_position
25,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0009321676824788,0,0,0.6447648406028748,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
26,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0085006768678886,0,0,0.6386308073997498,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
27,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0010322293485674,0,0,0.5470988154411316,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
28,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.05005215335005,0,0,0.8866397738456726,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
29,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0043621940933273,0,0,0.6747829914093018,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
30,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0054011552310976,0,0,0.655775785446167,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
31,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0116667769983112,0,0,0.6434110999107361,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
32,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.003732980288589,0,0,0.6540919542312622,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
33,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0158508750918349,0,0,0.3121873736381531,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
34,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0103050648892478,0,0,0.671055793762207,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
35,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0326875174450261,0,0,0.8312370181083679,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
36,4,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1077890212819362,0,0,0.6297513842582703,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
37,1,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0149978598934003,0,0,0.6566429734230042,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
38,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0059632629332246,0,0,0.6912702322006226,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
39,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0050404557886223,0,0,0.6842414140701294,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
40,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0030905175817445,0,0,0.6775690317153931,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
41,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0009336082736822,0,0,0.6211602687835693,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
42,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0010787905219066,0,0,0.6763756275177002,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
43,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0031168326976691,0,0,0.3518536686897278,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
44,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0190517548336456,0,0,0.6103296279907227,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
45,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0156971907419353,0,0,0.6577259302139282,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
46,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0247487081353682,0,0,0.6367548108100891,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
47,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0019387171444814,0,0,0.6199067234992981,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
48,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1060496314343099,0,0,0.3463068306446075,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
49,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0031168326976691,0,0,0.6417251825332642,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
